265;311;338
266;310;338
268;314;337
269;312;338
266;311;338
266;311;338
267;310;338
269;313;337
266;311;337
266;311;338
266;311;338
266;310;341
270;312;337
267;311;338
267;311;337
266;311;336
266;313;337
266;312;339
266;293;339
265;312;337
274;304;325
260;334;338
262;335;315
325;297;282
347;310;270
345;375;278
316;313;272
271;319;319
229;417;315
273;267;334
325;118;370
208;342;338
182;454;321
172;523;292
284;318;322
275;313;318
268;312;325
270;308;321
269;308;321
269;307;321
270;307;322
268;306;324
270;308;323
268;305;322
269;306;321
268;304;323
270;305;324
271;307;321
269;306;321
268;305;321
269;304;323
269;309;321
270;306;322
269;305;321
272;309;326
272;309;326
272;309;325
272;308;326
268;305;322
272;310;326
269;304;322
271;308;321
269;305;321
